compound_id,virus_id,activated
24630,103,-1.0
451356,103,-1.0
525524,103,-1.0
525528,103,-1.0
541277,103,-1.0
556480,103,-1.0
556481,103,-1.0
601738,103,-1.0
601823,103,-1.0
1147409,103,-1.0
1147411,103,-1.0
1202659,103,-1.0
1202660,103,-1.0
1202661,103,-1.0
1392054,103,-1.0
1392055,103,-1.0
335,480,-1.0
473,480,1.0
568,480,1.0
814,480,-1.0
1467,480,-1.0
2313,480,-1.0
2529,480,-1.0
2553,480,-1.0
2779,480,1.0
2847,480,-1.0
3252,480,1.0
3730,480,-1.0
3998,480,-1.0
4019,480,-1.0
4068,480,1.0
5299,480,-1.0
5913,480,-1.0
5994,480,1.0
6696,480,-1.0
7215,480,-1.0
7498,480,-1.0
8043,480,-1.0
8958,480,1.0
9414,480,-1.0
9415,480,-1.0
9416,480,-1.0
9434,480,-1.0
9443,480,-1.0
9444,480,-1.0
9446,480,-1.0
9859,480,1.0
12936,480,-1.0
14675,480,-1.0
16097,480,1.0
16505,480,-1.0
16508,480,-1.0
16519,480,-1.0
16521,480,-1.0
16526,480,-1.0
16533,480,-1.0
16534,480,-1.0
18282,480,-1.0
19180,480,-1.0
19193,480,-1.0
20171,480,-1.0
20290,480,-1.0
20305,480,-1.0
20826,480,-1.0
20827,480,-1.0
22187,480,-1.0
22188,480,-1.0
22190,480,-1.0
22409,480,-1.0
22542,480,1.0
22835,480,-1.0
22837,480,-1.0
23545,480,1.0
24023,480,1.0
24036,480,1.0
49990,480,-1.0
50352,480,-1.0
50675,480,-1.0
50676,480,-1.0
50678,480,-1.0
52565,480,1.0
82864,480,1.0
87465,480,1.0
90614,480,1.0
91591,480,1.0
92714,480,1.0
109403,480,1.0
109889,480,1.0
110803,480,1.0
114594,480,-1.0
114597,480,-1.0
114599,480,-1.0
114601,480,-1.0
116318,480,1.0
118842,480,-1.0
132821,480,-1.0
135044,480,-1.0
141056,480,-1.0
141057,480,-1.0
141058,480,-1.0
141059,480,-1.0
141060,480,-1.0
141061,480,-1.0
141063,480,-1.0
141064,480,-1.0
141065,480,-1.0
142121,480,-1.0
142123,480,-1.0
148044,480,-1.0
148045,480,-1.0
148046,480,-1.0
148047,480,-1.0
148048,480,-1.0
148049,480,-1.0
148052,480,-1.0
150734,480,-1.0
150735,480,-1.0
150740,480,-1.0
150741,480,-1.0
150742,480,-1.0
150743,480,-1.0
150799,480,-1.0
150841,480,-1.0
150842,480,-1.0
150843,480,-1.0
150844,480,-1.0
150845,480,-1.0
150846,480,-1.0
150852,480,-1.0
152677,480,-1.0
156488,480,-1.0
156962,480,1.0
167145,480,-1.0
168560,480,-1.0
168725,480,-1.0
169344,480,1.0
169841,480,-1.0
169866,480,-1.0
169906,480,-1.0
169952,480,-1.0
169957,480,-1.0
169993,480,-1.0
170041,480,-1.0
170255,480,-1.0
172682,480,-1.0
172756,480,-1.0
172798,480,-1.0
173396,480,-1.0
173497,480,-1.0
174356,480,-1.0
174412,480,-1.0
174413,480,-1.0
175672,480,-1.0
175720,480,-1.0
181052,480,-1.0
181156,480,-1.0
184166,480,-1.0
184176,480,-1.0
184177,480,-1.0
187194,480,-1.0
188112,480,-1.0
188247,480,-1.0
188248,480,-1.0
188252,480,-1.0
188253,480,-1.0
188263,480,-1.0
188289,480,-1.0
188306,480,-1.0
188308,480,-1.0
188310,480,-1.0
188314,480,-1.0
188327,480,-1.0
188328,480,-1.0
188330,480,-1.0
188339,480,-1.0
188340,480,-1.0
188341,480,-1.0
188342,480,-1.0
188353,480,-1.0
188355,480,-1.0
188356,480,-1.0
188364,480,-1.0
188371,480,-1.0
188373,480,-1.0
188395,480,-1.0
188397,480,-1.0
188614,480,-1.0
188643,480,-1.0
188892,480,-1.0
188909,480,-1.0
188910,480,-1.0
188930,480,-1.0
189006,480,-1.0
189528,480,-1.0
190095,480,-1.0
190882,480,-1.0
192205,480,-1.0
194844,480,-1.0
194937,480,-1.0
194980,480,-1.0
195024,480,-1.0
196726,480,1.0
198496,480,-1.0
199269,480,-1.0
201175,480,-1.0
201219,480,-1.0
201220,480,-1.0
201221,480,-1.0
201232,480,-1.0
201250,480,-1.0
201278,480,-1.0
201279,480,-1.0
203297,480,1.0
204054,480,-1.0
204055,480,1.0
204633,480,-1.0
204914,480,-1.0
205670,480,-1.0
205821,480,-1.0
205827,480,-1.0
207381,480,-1.0
207382,480,-1.0
207383,480,-1.0
207502,480,-1.0
207504,480,-1.0
207526,480,-1.0
208115,480,-1.0
208116,480,-1.0
208158,480,-1.0
209322,480,1.0
209357,480,1.0
209358,480,1.0
209387,480,1.0
209467,480,1.0
209489,480,1.0
209490,480,-1.0
209555,480,1.0
209615,480,-1.0
209648,480,1.0
209900,480,-1.0
211233,480,-1.0
211267,480,-1.0
211511,480,-1.0
213003,480,1.0
214417,480,-1.0
214420,480,-1.0
214645,480,-1.0
215389,480,-1.0
215505,480,-1.0
217157,480,1.0
224414,480,-1.0
224449,480,-1.0
224622,480,-1.0
225054,480,-1.0
225565,480,-1.0
225566,480,-1.0
225568,480,-1.0
226120,480,-1.0
230293,480,-1.0
230956,480,1.0
231342,480,-1.0
231343,480,-1.0
233423,480,-1.0
235607,480,-1.0
235608,480,-1.0
235636,480,-1.0
236056,480,-1.0
236084,480,-1.0
236089,480,-1.0
236090,480,-1.0
236102,480,-1.0
236103,480,1.0
236115,480,1.0
236119,480,-1.0
236132,480,-1.0
236155,480,-1.0
236186,480,-1.0
236188,480,-1.0
236564,480,-1.0
236589,480,-1.0
236590,480,-1.0
236598,480,-1.0
236599,480,-1.0
236618,480,-1.0
238150,480,-1.0
239935,480,-1.0
239936,480,-1.0
239971,480,-1.0
240007,480,-1.0
240186,480,-1.0
240236,480,-1.0
240265,480,-1.0
240297,480,-1.0
240793,480,-1.0
245531,480,-1.0
245560,480,-1.0
245610,480,-1.0
245723,480,-1.0
245724,480,-1.0
245725,480,-1.0
245727,480,-1.0
245760,480,-1.0
245772,480,-1.0
245773,480,-1.0
245774,480,-1.0
245785,480,-1.0
245802,480,-1.0
245803,480,-1.0
245804,480,-1.0
245805,480,-1.0
245817,480,-1.0
245819,480,-1.0
245853,480,-1.0
245866,480,-1.0
245903,480,-1.0
245912,480,1.0
245923,480,-1.0
245928,480,-1.0
245941,480,-1.0
245942,480,-1.0
245958,480,-1.0
245973,480,-1.0
246066,480,-1.0
246067,480,-1.0
246079,480,-1.0
246098,480,-1.0
246109,480,-1.0
246110,480,-1.0
246121,480,-1.0
246148,480,-1.0
246149,480,-1.0
246151,480,-1.0
246266,480,-1.0
246425,480,-1.0
246493,480,-1.0
246527,480,-1.0
246528,480,-1.0
247573,480,1.0
250273,480,-1.0
250274,480,-1.0
250483,480,-1.0
250891,480,-1.0
251393,480,-1.0
251394,480,-1.0
251427,480,-1.0
251428,480,-1.0
254806,480,-1.0
254834,480,-1.0
254996,480,-1.0
255287,480,-1.0
255338,480,-1.0
255372,480,-1.0
255373,480,-1.0
255415,480,-1.0
255437,480,-1.0
255438,480,-1.0
255439,480,-1.0
255440,480,-1.0
255773,480,-1.0
255827,480,-1.0
255851,480,-1.0
255852,480,-1.0
255854,480,-1.0
255999,480,-1.0
256000,480,-1.0
256001,480,-1.0
256022,480,-1.0
256049,480,-1.0
256051,480,-1.0
256052,480,-1.0
256086,480,-1.0
256087,480,-1.0
258854,480,-1.0
259412,480,-1.0
259413,480,-1.0
259416,480,-1.0
259613,480,-1.0
259918,480,-1.0
259935,480,-1.0
260075,480,-1.0
260485,480,-1.0
260541,480,-1.0
261074,480,-1.0
261075,480,-1.0
261076,480,-1.0
261077,480,-1.0
261294,480,-1.0
261373,480,-1.0
261617,480,-1.0
261639,480,-1.0
261661,480,-1.0
261662,480,-1.0
261683,480,-1.0
262336,480,-1.0
263859,480,-1.0
266776,480,-1.0
266807,480,-1.0
266808,480,-1.0
267332,480,-1.0
267333,480,-1.0
267359,480,-1.0
267467,480,-1.0
267960,480,-1.0
269613,480,-1.0
269614,480,-1.0
272671,480,-1.0
275255,480,-1.0
275654,480,-1.0
275729,480,-1.0
275730,480,-1.0
275981,480,-1.0
276007,480,-1.0
276023,480,-1.0
277172,480,-1.0
281985,480,-1.0
282033,480,-1.0
282360,480,-1.0
283320,480,-1.0
283365,480,-1.0
283394,480,-1.0
283395,480,-1.0
283396,480,-1.0
283397,480,-1.0
283426,480,-1.0
283491,480,-1.0
283492,480,-1.0
283498,480,-1.0
283530,480,-1.0
283659,480,-1.0
283661,480,-1.0
283693,480,-1.0
